"","country_code","gear","vlength","variable_group","variable_name","unit","val"
"225","ESP","PS","VL40XX","Capital","Total assets","euro",150108387.564
"226","ESP","PS","VL40XX","Capital","Value of physical capital","euro",150108387.564
"227","ESP","PS","VL40XX","Capital","Value of quota and other fishing rights","euro",0
"228","ESP","PS","VL40XX","Effort","Days at sea","day",7338.41
"229","ESP","PS","VL40XX","Effort","Energy consumption","litre",98447143.2
"230","ESP","PS","VL40XX","Effort","Fishing days","day",4366.96
"231","ESP","PS","VL40XX","Effort","GT days at sea","GTday",19172065.7708
"232","ESP","PS","VL40XX","Effort","GT fishing days","GTday",11895324.2624
"233","ESP","PS","VL40XX","Effort","Maximum days at sea","day",360.09
"234","ESP","PS","VL40XX","Effort","Number of fishing trips","number",348
"235","ESP","PS","VL40XX","Effort","kW days at sea","kWday",27747759.1439
"236","ESP","PS","VL40XX","Effort","kW fishing days","kWday",17125312.0764
"237","ESP","PS","VL40XX","Employment","Engaged crew","number",1905
"238","ESP","PS","VL40XX","Employment","FTE national","number",1829.6379
"239","ESP","PS","VL40XX","Employment","Total hours worked per year (engaged crew)","hour",3293348.352
"240","ESP","PS","VL40XX","Employment","Unpaid labour","number",0
"241","ESP","PS","VL40XX","Expenditure","Consumption of fixed capital","euro",27157223.0756
"242","ESP","PS","VL40XX","Expenditure","Energy costs","euro",43906269.596
"243","ESP","PS","VL40XX","Expenditure","Lease/rental payments for quota","euro",1632030.568
"244","ESP","PS","VL40XX","Expenditure","Other non-variable costs","euro",29901061.148
"245","ESP","PS","VL40XX","Expenditure","Other variable costs","euro",104775816.824
"246","ESP","PS","VL40XX","Expenditure","Personnel costs","euro",75530835.156
"247","ESP","PS","VL40XX","Expenditure","Repair & maintenance costs","euro",34539433.572
"248","ESP","PS","VL40XX","Expenditure","Value of unpaid labour","euro",0
"249","ESP","PS","VL40XX","Income","Gross value of landings","euro",395324293.448
"250","ESP","PS","VL40XX","Income","Income from leasing out quota","euro",0
"251","ESP","PS","VL40XX","Income","Operating subsidies","euro",105870.8
"252","ESP","PS","VL40XX","Income","Other income","euro",198595.6
